Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,SEA,F,19,329,19,4,329,5.6,16.1,.347,1.3,5.9,.222,4.3,10.2,.419,1.8,3.9,.458,1.8,9.2,5.1,3.3,0.5,6.6,4.3,14.3
Jessica Adair,MIN,C,19,168,19,0,168,4.0,11.4,.351,0.0,0.0,,4.0,11.4,.351,6.2,10.8,.571,3.4,12.3,1.8,0.9,1.2,4.3,8.6,14.2
Danielle Adams,SAS,F-C,34,686,34,5,686,10.8,24.5,.441,2.9,8.6,.339,7.9,15.9,.495,6.3,8.3,.759,4.7,12.2,2.5,1.8,1.8,3.2,7.2,30.7
Matee Ajavon,WAS,G,33,712,33,22,712,6.2,20.6,.299,2.3,7.8,.301,3.8,12.9,.298,5.0,6.1,.827,1.5,4.5,5.0,4.0,0.5,4.9,7.3,19.7
Nicky Anosike,LAS,F-C,10,57,10,0,57,1.8,7.1,.250,0.0,0.0,,1.8,7.1,.250,5.3,5.3,1.000,0.0,10.6,4.4,2.7,1.8,5.3,8.0,8.9
Jayne Appel-Marinelli,SAS,C,33,625,33,30,625,3.9,7.1,.553,0.0,0.1,.000,3.9,7.1,.560,1.8,2.4,.759,5.2,17.9,3.3,1.5,2.4,3.3,5.6,9.7
Seimone Augustus*,MIN,G-F,29,826,29,29,826,12.0,24.5,.491,2.8,6.4,.437,9.2,18.0,.510,3.3,3.8,.852,1.0,6.6,4.5,1.7,0.4,3.1,1.9,30.1
Mistie Bass,CON,F,32,598,32,10,598,8.5,16.1,.529,0.0,0.1,.000,8.5,16.0,.532,4.9,6.9,.713,5.1,12.3,2.8,2.1,1.1,3.4,5.1,21.9
Alana Beard,LAS,G-F,33,1017,33,33,1017,6.8,15.6,.436,1.7,4.3,.402,5.1,11.3,.449,3.3,4.1,.795,0.5,3.5,5.4,3.3,0.6,4.1,4.5,18.6
Tully Bevilaqua,SAS,G,28,157,28,0,157,0.7,4.0,.167,0.3,2.7,.125,0.3,1.3,.250,0.3,0.7,.500,0.3,2.3,3.7,2.3,0.3,3.0,2.3,2.0
Sue Bird,SEA,G,29,898,29,29,898,8.0,17.4,.459,3.2,8.3,.384,4.8,9.1,.526,2.2,2.8,.783,0.4,5.0,9.3,1.6,0.2,3.9,1.9,21.3
Chante Black,TUL,C,29,366,29,13,366,4.9,9.8,.500,0.0,0.0,,4.9,9.8,.500,3.1,4.5,.688,3.6,10.8,1.4,2.1,2.5,3.4,4.6,12.9
Shannon Bobbitt,WAS,G,28,418,28,5,418,3.7,11.3,.330,1.2,5.1,.225,2.6,6.2,.417,1.4,2.3,.611,1.4,4.2,9.2,1.8,0.3,4.5,4.9,10.0
DeWanna Bonner,PHO,F-G,32,1120,32,32,1120,9.5,26.1,.364,2.3,8.3,.283,7.2,17.9,.402,8.3,9.7,.852,2.5,10.3,3.2,2.4,1.3,3.4,2.1,29.6
Kara Braxton,NYL,C-F,34,535,34,18,535,10.0,20.9,.481,0.1,0.5,.200,9.9,20.4,.488,1.8,3.9,.450,6.0,15.0,3.5,1.7,2.1,7.3,5.8,21.9
Rebekkah Brunson,MIN,F,31,837,31,31,837,8.5,16.9,.505,0.0,0.0,,8.5,16.9,.505,4.7,6.9,.679,6.7,17.1,2.3,2.3,1.8,2.5,4.4,21.7
Kelley Cain,NYL,C,20,136,20,0,136,3.1,7.0,.444,0.0,0.0,,3.1,7.0,.444,2.7,4.3,.636,4.3,11.6,0.8,0.8,1.5,3.9,5.0,8.9
Dominique Canty,WAS,G,6,72,6,5,72,4.5,17.1,.261,0.0,2.2,.000,4.5,14.9,.300,3.7,7.5,.500,2.2,6.0,4.5,1.5,0.0,6.0,7.5,12.7
Essence Carson,NYL,G,34,927,34,23,927,9.0,22.4,.400,2.0,6.0,.343,6.9,16.5,.421,2.4,3.1,.778,1.6,6.6,3.3,2.1,1.4,3.3,3.0,22.4
Sydney Carter,CHI,G,1,9,1,0,9,11.8,35.3,.333,0.0,11.8,.000,11.8,23.5,.500,0.0,0.0,,0.0,0.0,0.0,5.9,0.0,5.9,0.0,23.5
Swin Cash*,CHI,F,34,1021,34,34,1021,6.5,17.8,.367,1.7,5.9,.281,4.9,11.9,.410,3.9,5.1,.765,2.9,10.2,4.1,1.8,0.9,4.9,4.2,18.6
Iziane Castro Marques,WAS,F-G,11,132,11,0,132,5.7,21.5,.264,0.4,2.4,.167,5.3,19.1,.277,2.0,2.8,.714,1.6,4.9,3.3,1.2,0.0,3.3,3.3,13.8
Tamika Catchings*,IND,F,34,1036,34,34,1036,10.4,24.0,.432,2.6,6.8,.379,7.8,17.2,.453,7.3,8.4,.864,3.2,13.4,5.5,3.6,1.5,3.1,4.4,30.6
Tina Charles,CON,C,33,1096,33,33,1096,11.7,23.5,.499,0.0,0.2,.200,11.7,23.3,.502,4.4,5.4,.802,5.8,16.2,2.7,0.8,2.2,3.5,3.0,27.8
Shameka Christon,SAS,G,34,695,34,31,695,6.3,17.5,.358,4.1,11.9,.342,2.2,5.6,.392,3.8,4.8,.781,1.3,5.1,3.2,1.4,1.2,1.5,3.1,20.4
Alysha Clark,SEA,F,23,238,23,0,238,6.6,12.0,.547,2.0,4.5,.450,4.5,7.5,.606,2.7,3.8,.706,2.9,10.6,1.6,1.1,0.2,4.3,6.1,17.9
Marissa Coleman,LAS,G-F,34,548,34,2,548,3.4,10.7,.319,1.3,5.1,.255,2.1,5.6,.377,1.7,1.8,.900,2.2,8.0,3.3,1.9,0.7,2.2,4.1,9.8
Monique Currie,WAS,F,34,820,34,28,820,8.4,20.9,.404,1.4,5.2,.275,7.0,15.6,.448,8.3,10.7,.774,1.8,8.0,3.9,2.3,0.5,3.9,5.6,26.6
Jessica Davenport,IND,C,34,514,34,2,514,8.8,18.7,.469,0.1,0.3,.333,8.7,18.4,.472,6.3,8.5,.741,3.7,12.0,2.3,2.4,2.7,5.3,6.5,23.9
Erika de Souza,ATL,F-C,15,449,15,15,449,8.9,17.1,.523,0.0,0.0,,8.9,17.1,.523,1.8,2.6,.696,5.4,13.9,2.7,2.3,2.6,3.5,5.1,19.7
Scholanda Dorrell,TUL,G,26,385,26,8,385,4.9,15.1,.327,2.1,6.7,.320,2.8,8.4,.333,2.7,4.0,.667,1.7,4.3,1.7,3.3,0.4,3.3,6.1,14.7
Katie Douglas,IND,G-F,32,990,32,32,990,10.0,24.1,.413,4.3,10.3,.423,5.6,13.9,.406,4.4,5.2,.844,1.8,6.6,3.9,2.6,0.5,2.9,3.0,28.7
Victoria Dunlap,SEA,F,5,28,5,0,28,5.8,19.2,.300,0.0,1.9,.000,5.8,17.3,.333,13.5,19.2,.700,13.5,21.2,1.9,0.0,0.0,5.8,7.7,25.0
Candice Dupree,PHO,F,13,345,13,12,345,10.4,21.4,.483,0.0,0.1,.000,10.4,21.3,.486,4.4,5.4,.811,2.3,9.0,2.5,1.2,1.0,3.9,2.9,25.1
Dawn Evans,LAS,G,3,15,3,0,15,3.4,16.8,.200,0.0,13.5,.000,3.4,3.4,1.000,0.0,0.0,,0.0,0.0,10.1,3.4,0.0,6.7,3.4,6.7
Sylvia Fowles,CHI,C,25,778,25,25,778,10.7,16.7,.638,0.0,0.0,,10.7,16.7,.638,6.3,9.0,.692,6.4,17.7,1.4,2.2,2.0,3.6,3.7,27.6
Briana Gilbreath-Butler,PHO,G,11,258,11,2,258,4.7,13.8,.338,2.7,7.2,.378,1.9,6.6,.294,2.9,3.7,.789,2.7,7.8,2.3,1.0,1.0,2.7,2.9,15.0
Sasha Goodlett,IND,C,26,197,26,0,197,9.0,20.2,.446,0.0,0.0,,9.0,20.2,.446,3.8,5.5,.700,4.9,11.2,1.6,2.2,1.9,2.5,4.6,21.8
Alexis Gray-Lawson,PHO,G,19,318,19,0,318,4.7,16.1,.294,0.9,6.0,.158,3.8,10.1,.375,3.0,4.1,.731,2.2,6.0,3.6,1.1,0.5,2.8,6.3,13.4
Kalana Greene,CON,G,34,605,34,31,605,4.5,10.3,.438,0.4,1.9,.227,4.1,8.4,.485,2.7,3.9,.696,1.5,5.4,4.8,3.3,0.6,2.3,3.8,12.1
Kelsey Griffin,CON,F,31,375,31,6,375,4.7,13.6,.343,0.4,2.1,.200,4.2,11.5,.369,3.3,4.7,.706,4.0,12.3,2.1,2.5,1.4,3.7,5.1,13.0
Becky Hammon*,SAS,G,33,998,33,33,998,8.4,19.1,.441,4.2,9.7,.435,4.2,9.4,.447,4.5,5.1,.876,0.5,4.4,9.3,1.6,0.3,5.6,1.9,25.5
Lindsey Harding,ATL,G,34,1040,34,32,1040,7.7,18.0,.425,0.7,2.8,.241,7.0,15.2,.460,4.4,5.4,.818,0.8,4.6,7.5,2.2,0.3,3.4,2.3,20.4
Amber Harris,MIN,F,27,240,27,0,240,7.8,19.2,.404,1.5,3.9,.389,6.2,15.3,.408,3.2,4.7,.682,2.2,10.8,3.2,1.9,2.8,3.2,5.8,20.3
Tiffany Hayes,ATL,G,34,787,34,17,787,5.8,14.9,.390,1.4,5.0,.273,4.5,9.9,.448,5.9,7.6,.786,1.5,6.8,4.7,1.8,0.8,3.3,5.7,18.9
Aneika Henry-Morello,ATL,F-C,34,613,34,14,613,5.4,11.5,.468,0.0,0.0,,5.4,11.5,.468,2.7,3.5,.762,4.4,11.6,1.2,1.3,2.5,2.3,5.8,13.4
Allison Hightower,CON,G,34,827,34,29,827,5.6,15.9,.352,1.1,4.7,.237,4.5,11.2,.400,2.0,2.2,.914,1.3,4.9,5.2,2.7,0.3,2.9,4.9,14.3
Ebony Hoffman,LAS,F,20,208,20,0,208,4.4,12.6,.346,1.2,4.6,.263,3.2,8.0,.394,1.9,2.4,.800,3.2,10.2,2.2,3.2,0.2,3.2,7.3,11.9
Amber Holt,TUL,F,24,456,24,18,456,6.4,15.1,.425,1.9,5.5,.347,4.5,9.6,.471,1.0,1.8,.563,1.1,5.1,3.2,1.2,0.0,1.8,2.8,15.8
Alexis Hornbuckle,PHO,G,34,865,34,25,865,5.0,14.9,.335,1.5,4.7,.325,3.5,10.3,.339,1.3,2.2,.605,2.6,8.3,4.0,2.4,1.0,4.2,5.7,12.9
Charde Houston,PHO,F,27,694,27,20,694,9.1,22.4,.408,2.8,8.1,.348,6.3,14.3,.442,2.5,3.4,.723,2.1,6.7,3.2,2.5,0.7,3.8,5.8,23.6
Lauren Jackson*,SEA,F-C,9,167,9,9,167,11.0,25.8,.425,1.9,9.4,.207,9.0,16.5,.549,5.8,8.1,.720,2.3,16.1,0.6,1.3,2.3,3.9,6.5,29.7
Briann January,IND,G,31,879,31,26,879,6.1,15.0,.404,2.8,6.5,.430,3.2,8.4,.384,4.6,5.3,.874,0.8,3.4,7.5,2.2,0.2,4.6,4.8,19.6
Glory Johnson,TUL,F,34,958,34,28,958,7.0,14.6,.482,0.0,0.0,,7.0,14.6,.482,7.0,10.3,.677,5.1,12.4,2.0,3.9,1.1,3.8,5.5,21.0
Shenise Johnson,SAS,G,34,581,34,1,581,6.1,16.9,.364,1.9,4.6,.412,4.2,12.3,.346,3.2,3.7,.854,5.0,11.8,4.2,2.4,0.5,3.3,4.5,17.3
Temeka Johnson,TUL,G,29,833,29,28,833,7.9,19.0,.416,2.1,3.9,.531,5.8,15.0,.385,3.9,4.6,.840,1.1,5.7,8.3,2.1,0.1,4.9,4.3,21.7
Asjha Jones,CON,F,20,558,20,19,558,9.4,21.1,.445,0.4,1.1,.333,9.0,20.0,.452,3.2,3.6,.897,4.5,13.0,3.6,1.7,1.0,4.7,5.6,22.4
Ewelina Kobryn,SEA,C,33,438,33,6,438,6.9,16.7,.412,1.2,3.3,.370,5.7,13.4,.422,4.4,6.2,.720,2.0,9.6,1.8,2.0,1.7,5.0,5.7,19.4
Laurie Koehn,ATL,G,23,112,23,0,112,6.3,18.6,.341,5.9,17.7,.333,0.5,0.9,.500,0.0,0.0,,0.9,4.5,1.4,0.9,0.0,2.7,1.8,18.6
Cathrine Kraayeveld,ATL,F,33,507,33,1,507,5.6,13.3,.421,3.5,8.7,.402,2.1,4.6,.457,0.5,1.5,.333,1.7,9.2,2.8,1.4,1.6,2.6,3.2,15.2
Jennifer Lacy,TUL,F,26,573,26,6,573,6.9,17.7,.389,3.9,9.8,.404,3.0,8.0,.371,2.1,3.3,.649,2.2,6.1,2.0,1.4,0.8,3.2,6.8,19.9
Natasha Lacy,WAS,G,20,259,20,1,259,6.0,16.8,.358,1.0,4.4,.238,5.0,12.4,.400,2.9,3.7,.778,2.1,8.7,5.2,2.7,1.0,4.8,5.6,16.0
Crystal Langhorne,WAS,F-C,31,999,31,31,999,10.2,18.2,.562,0.1,0.4,.125,10.2,17.7,.573,4.0,6.3,.641,4.0,10.4,2.3,2.5,0.2,4.0,3.5,24.5
Erlana Larkins,IND,F,34,526,34,2,526,5.6,11.0,.509,0.0,0.0,,5.6,11.0,.509,3.2,3.7,.861,7.1,15.1,3.7,3.5,0.5,3.5,6.3,14.4
Ivory Latta,TUL,G,34,962,34,18,962,9.3,21.7,.430,3.7,9.4,.390,5.7,12.3,.461,3.6,4.3,.840,0.7,4.0,5.9,1.7,0.2,3.9,4.0,26.0
Jantel Lavender,LAS,F,34,490,34,1,490,8.3,16.5,.506,0.0,0.0,,8.3,16.5,.506,2.8,3.3,.844,5.1,13.8,1.9,0.9,1.9,3.9,5.8,19.5
Kara Lawson,CON,G,34,1066,34,34,1066,8.1,16.5,.493,3.6,8.3,.430,4.6,8.2,.556,4.8,5.2,.935,0.8,6.3,6.6,1.3,0.2,2.9,1.9,24.7
Yelena Leuchanka,ATL,C,19,260,19,5,260,4.7,12.3,.381,0.0,0.2,.000,4.7,12.1,.387,2.0,2.7,.714,3.1,10.2,2.3,1.8,1.8,5.5,6.6,11.3
Camille Smith,SEA,F,34,947,34,34,947,7.4,15.6,.474,0.6,1.9,.333,6.8,13.7,.494,6.4,8.7,.739,3.0,10.0,3.6,1.4,1.0,5.3,5.3,21.9
Sancho Lyttle,ATL,F,34,1074,34,34,1074,9.4,22.8,.412,1.3,5.2,.255,8.1,17.6,.458,2.4,3.1,.758,2.2,12.2,4.0,3.9,1.1,4.2,4.7,22.5
Angel McCoughtry,ATL,F-G,24,718,24,17,718,12.5,28.0,.447,2.0,5.9,.337,10.5,22.1,.476,9.3,11.7,.800,3.5,8.4,4.9,4.2,1.9,6.7,4.0,36.4
Danielle McCray,CON,F,28,389,28,8,389,5.2,16.4,.315,2.6,7.9,.333,2.5,8.5,.297,4.9,5.4,.902,1.8,7.4,4.4,2.2,0.0,3.7,5.4,17.8
Taj McWilliams-Franklin,MIN,F-C,33,879,33,33,879,7.2,13.8,.519,0.1,0.3,.400,7.1,13.5,.522,1.8,2.4,.750,3.2,10.4,4.9,2.0,2.7,3.9,4.4,16.2
Coco Miller,LAS,G,10,141,10,1,141,3.9,13.2,.297,0.7,2.1,.333,3.2,11.1,.290,0.7,0.7,1.000,3.2,9.7,3.9,0.7,0.0,4.7,1.4,9.3
Kelly Miller,NYL,G,11,82,11,0,82,2.6,15.4,.167,0.6,7.1,.091,1.9,8.3,.231,1.3,1.3,1.000,0.6,5.1,3.9,1.9,0.0,5.8,6.4,7.1
DeLisha Milton-Jones,LAS,F,34,926,34,34,926,6.7,16.1,.417,1.6,4.8,.326,5.1,11.2,.456,3.5,4.3,.823,2.6,8.2,3.3,1.9,1.3,3.4,5.2,18.5
Leilani Mitchell,NYL,G,34,908,34,25,908,4.6,11.2,.409,3.1,7.5,.411,1.5,3.7,.406,0.5,0.7,.750,1.2,4.9,6.0,2.0,0.3,3.1,4.2,12.8
Alex Montgomery,NYL,G-F,26,210,26,0,210,6.0,16.0,.375,2.0,5.8,.348,4.0,10.3,.390,2.0,2.8,.727,4.3,12.0,2.8,3.8,0.5,3.5,5.8,16.0
Renee Montgomery,CON,G,34,816,34,0,816,7.3,21.0,.348,3.0,8.1,.364,4.3,12.8,.338,7.4,8.7,.848,0.5,4.0,5.6,2.2,0.2,4.8,3.3,24.9
Maya Moore,MIN,F,34,1011,34,34,1011,10.2,21.9,.465,3.7,9.6,.388,6.4,12.3,.525,4.4,5.1,.879,3.6,10.5,6.3,2.6,1.1,3.2,4.4,28.5
Jene Morris,TUL,G,9,82,9,1,82,3.8,10.0,.375,2.5,5.6,.444,1.3,4.4,.286,0.6,1.3,.500,3.1,5.6,1.3,3.8,0.0,2.5,6.9,10.6
Ziomara Morrison,SAS,C,30,166,30,0,166,7.0,16.4,.423,1.9,3.2,.600,5.1,13.3,.381,2.8,3.5,.818,4.1,11.4,0.6,0.9,0.9,4.1,8.2,18.6
Shay Murphy,CHI,G,29,538,29,3,538,8.6,20.4,.420,4.4,10.0,.441,4.1,10.3,.400,2.7,3.6,.730,3.0,8.3,2.7,3.1,0.6,3.0,4.4,24.2
Natalie Novosel,WAS,G,31,306,31,0,306,6.0,17.7,.337,1.6,7.2,.220,4.4,10.5,.417,3.9,5.1,.759,3.3,7.2,4.0,2.5,0.5,3.3,2.8,17.4
Nneka Ogwumike,LAS,F,33,920,33,33,920,9.8,18.3,.535,0.1,0.4,.143,9.7,17.9,.543,5.8,7.8,.734,5.4,13.5,2.2,2.5,1.6,2.3,4.8,25.3
Jenna O'Hea,LAS,F,8,144,8,0,144,4.6,8.8,.520,2.5,4.9,.500,2.1,3.9,.545,1.8,2.5,.714,2.8,7.0,5.6,1.1,0.4,2.1,4.9,13.3
Candace Parker,LAS,F-C,33,1014,33,33,1014,11.3,23.6,.481,0.9,2.9,.322,10.4,20.6,.504,4.9,6.9,.710,4.1,15.9,5.5,2.5,3.8,4.9,2.9,28.5
Kayla Pedersen,TUL,F,27,626,27,25,626,3.6,12.1,.297,0.2,1.0,.250,3.4,11.1,.301,1.9,3.2,.590,3.0,9.7,3.4,2.1,1.1,2.8,6.1,9.3
Ticha Penicheiro,CHI,G,19,242,19,6,242,2.6,7.4,.353,0.7,3.3,.200,2.0,4.2,.474,1.3,2.4,.545,0.4,5.2,8.5,1.7,0.7,8.3,2.8,7.2
Jia Perkins,SAS,G,33,759,33,3,759,8.8,23.3,.380,3.4,8.8,.386,5.5,14.5,.376,3.2,4.2,.754,1.2,6.4,4.4,3.7,0.8,2.0,3.0,24.3
Devereaux Peters,MIN,F,30,424,30,2,424,7.4,13.3,.560,0.0,0.0,,7.4,13.3,.560,4.4,6.2,.706,5.4,13.8,4.0,1.7,2.8,4.8,9.0,19.3
Sonja Petrovic,CHI,F,30,453,30,2,453,6.3,17.6,.358,2.0,7.1,.279,4.3,10.5,.411,2.3,3.0,.769,1.5,7.9,3.6,1.8,1.8,4.6,4.9,16.9
